"['NM_PROFUMO_and_NM_MMP', 'Amps_PROFUMO_and_Amps_ICA300', 'NM_PROFUMO_and_Amps_PROFUMO', 'Maps_PROFUMO_and_NM_MMP', 'Maps_PROFUMO_and_Amps_PROFUMO', 'NM_PROFUMO_and_Maps_PROFUMO', 'NM_MMP_and_Amps_ICA300', 'Amps_PROFUMO_and_NM_MMP', 'NM_PROFUMO_and_Amps_ICA300', 'Maps_PROFUMO_and_Amps_ICA300']","[3, 127, 1, 1, 0, 0, 29, 3, 1, 0]"
"['NM_PROFUMO_and_Amps_PROFUMO', 'Amps_PROFUMO_and_NM_MMP', 'Amps_PROFUMO_and_Amps_ICA300', 'NM_PROFUMO_and_NM_MMP', 'Maps_PROFUMO_and_NM_MMP', 'Maps_PROFUMO_and_Amps_PROFUMO', 'NM_MMP_and_Amps_ICA300', 'NM_PROFUMO_and_Maps_PROFUMO', 'Maps_PROFUMO_and_Amps_ICA300', 'NM_PROFUMO_and_Amps_ICA300']","[1, 3, 127, 3, 3, 0, 28, 0, 0, 1]"
"['Maps_PROFUMO_and_Amps_ICA300', 'NM_MMP_and_Amps_ICA300', 'NM_PROFUMO_and_NM_MMP', 'NM_PROFUMO_and_Amps_ICA300', 'Maps_PROFUMO_and_Amps_PROFUMO', 'Amps_PROFUMO_and_NM_MMP', 'NM_PROFUMO_and_Maps_PROFUMO', 'NM_PROFUMO_and_Amps_PROFUMO', 'Amps_PROFUMO_and_Amps_ICA300', 'Maps_PROFUMO_and_NM_MMP']","[0, 28, 3, 1, 0, 3, 0, 0, 127, 3]"
"['Amps_PROFUMO_and_NM_MMP', 'Amps_PROFUMO_and_Amps_ICA300', 'NM_PROFUMO_and_Maps_PROFUMO', 'NM_MMP_and_Amps_ICA300', 'NM_PROFUMO_and_Amps_ICA300', 'Maps_PROFUMO_and_NM_MMP', 'NM_PROFUMO_and_NM_MMP', 'NM_PROFUMO_and_Amps_PROFUMO', 'Maps_PROFUMO_and_Amps_PROFUMO', 'Maps_PROFUMO_and_Amps_ICA300']","[3, 126, 0, 28, 1, 3, 3, 0, 0, 0]"
"['Maps_PROFUMO_and_Amps_PROFUMO', 'Maps_PROFUMO_and_NM_MMP', 'Amps_PROFUMO_and_Amps_ICA300', 'NM_PROFUMO_and_Amps_PROFUMO', 'NM_MMP_and_Amps_ICA300', 'NM_PROFUMO_and_Maps_PROFUMO', 'Amps_PROFUMO_and_NM_MMP', 'NM_PROFUMO_and_Amps_ICA300', 'NM_PROFUMO_and_NM_MMP', 'Maps_PROFUMO_and_Amps_ICA300']","[0, 3, 108, 13, 28, 0, 3, 2, 3, 0]"
"['NM_PROFUMO_and_Maps_PROFUMO', 'Amps_PROFUMO_and_NM_MMP', 'Amps_PROFUMO_and_Amps_ICA300', 'NM_MMP_and_Amps_ICA300', 'Maps_PROFUMO_and_NM_MMP', 'Maps_PROFUMO_and_Amps_ICA300', 'Maps_PROFUMO_and_Amps_PROFUMO', 'NM_PROFUMO_and_Amps_PROFUMO', 'NM_PROFUMO_and_Amps_ICA300', 'NM_PROFUMO_and_NM_MMP']","[0, 2, 33, 37, 4, 0, 0, 17, 5, 3]"
"['NM_PROFUMO_and_Amps_PROFUMO', 'Maps_PROFUMO_and_Amps_ICA300', 'NM_PROFUMO_and_Amps_ICA300', 'Amps_PROFUMO_and_NM_MMP', 'NM_PROFUMO_and_Maps_PROFUMO', 'Amps_PROFUMO_and_Amps_ICA300', 'NM_PROFUMO_and_NM_MMP', 'Maps_PROFUMO_and_Amps_PROFUMO', 'Maps_PROFUMO_and_NM_MMP', 'NM_MMP_and_Amps_ICA300']","[15, 0, 5, 3, 0, 16, 3, 0, 5, 63]"
"['Amps_PROFUMO_and_NM_MMP', 'NM_PROFUMO_and_Maps_PROFUMO', 'Maps_PROFUMO_and_Amps_ICA300', 'NM_PROFUMO_and_NM_MMP', 'NM_PROFUMO_and_Amps_PROFUMO', 'Amps_PROFUMO_and_Amps_ICA300', 'NM_MMP_and_Amps_ICA300', 'NM_PROFUMO_and_Amps_ICA300', 'Maps_PROFUMO_and_NM_MMP', 'Maps_PROFUMO_and_Amps_PROFUMO']","[3, 0, 2, 8, 8, 12, 91, 8, 7, 2]"
"['Amps_PROFUMO_and_NM_MMP', 'NM_PROFUMO_and_Amps_ICA300', 'NM_PROFUMO_and_Amps_PROFUMO', 'Amps_PROFUMO_and_Amps_ICA300', 'Maps_PROFUMO_and_Amps_PROFUMO', 'NM_PROFUMO_and_NM_MMP', 'Maps_PROFUMO_and_NM_MMP', 'NM_MMP_and_Amps_ICA300', 'NM_PROFUMO_and_Maps_PROFUMO', 'Maps_PROFUMO_and_Amps_ICA300']","[3, 4, 11, 10, 2, 12, 14, 98, 2, 9]"
"['Maps_PROFUMO_and_Amps_ICA300', 'NM_PROFUMO_and_Amps_PROFUMO', 'NM_MMP_and_Amps_ICA300', 'NM_PROFUMO_and_NM_MMP', 'Maps_PROFUMO_and_NM_MMP', 'Maps_PROFUMO_and_Amps_PROFUMO', 'NM_PROFUMO_and_Amps_ICA300', 'Amps_PROFUMO_and_NM_MMP', 'Amps_PROFUMO_and_Amps_ICA300', 'NM_PROFUMO_and_Maps_PROFUMO']","[6, 11, 100, 12, 11, 3, 7, 2, 11, 3]"
"['Maps_PROFUMO_and_Amps_PROFUMO', 'NM_MMP_and_Amps_ICA300', 'Amps_PROFUMO_and_NM_MMP', 'NM_PROFUMO_and_Maps_PROFUMO', 'Amps_PROFUMO_and_Amps_ICA300', 'NM_PROFUMO_and_Amps_ICA300', 'Maps_PROFUMO_and_Amps_ICA300', 'NM_PROFUMO_and_Amps_PROFUMO', 'Maps_PROFUMO_and_NM_MMP', 'NM_PROFUMO_and_NM_MMP']","[2, 66, 1, 0, 11, 5, 4, 11, 13, 15]"
